submission_date,new_case,new_death,Admin_Dose_1_Daily,Administered_Dose1_Pop_Pct,Series_Complete_Daily,Series_Complete_Pop_Pct,Booster_Daily,Additional_Doses_Vax_Pct,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips >=500
2021-11-04,2003,20,43069.0,132.3,11738.0,107.5,41895.0,16.9,1899995.0,8588089.0,43509283.0,24442.0
2021-11-05,1823,26,31943.0,132.6,30352.0,107.80000000000001,46852.0,17.8,1880641.0,8607443.0,45606196.0,26454.0
2021-11-06,1697,21,41521.0,133.0,10136.0,107.80000000000001,30219.0,18.3,1930508.0,8557576.0,42397023.0,24396.0
2021-11-07,1359,19,28048.0,133.3,7362.0,107.9,23723.0,18.6,1622228.0,8865856.0,26916182.0,19990.0
2021-11-08,1003,16,43075.0,133.7,9199.0,108.0,25519.0,19.1,1970469.0,8517615.0,42509460.0,23977.0
2021-11-09,1495,22,43207.0,134.1,7645.0,108.1,23622.0,19.5,1942523.0,8545561.0,44456487.0,24251.0
2021-11-10,2073,16,53552.0,134.6,10379.0,108.19999999999999,35226.0,20.1,1908048.0,8580036.0,45846924.0,24363.0
2021-11-11,2048,14,55688.0,135.10000000000002,9119.0,108.19999999999999,30773.0,20.6,1923169.0,8564915.0,44987576.0,24366.0
2021-11-12,1911,22,58330.0,135.7,11565.0,108.4,41076.0,21.3,1877477.0,8610607.0,46073022.0,26415.0
2021-11-13,1645,19,48972.0,136.10000000000002,6900.0,108.4,21472.0,21.7,1965595.0,8522489.0,41433851.0,23946.0
2021-11-14,1745,10,33048.0,136.4,6194.0,108.5,21548.0,22.1,2025140.0,8462944.0,37578107.0,27676.0
2021-11-15,1205,9,40874.0,136.89999999999998,7268.0,108.6,23982.0,22.4,1899449.0,8588635.0,46600322.0,25293.0
2021-11-16,1705,18,67910.0,137.5,12339.0,108.7,25482.0,22.799999999999997,1883762.0,8604322.0,45811671.0,24512.0
2021-11-17,2253,20,64280.0,138.10000000000002,11745.0,108.80000000000001,33549.0,23.5,1892494.0,8595590.0,46979772.0,24888.0
2021-11-18,2339,19,48323.0,138.6,9623.0,108.9,39331.0,24.1,1936912.0,8551172.0,42639575.0,23209.0
