state,tot_cases,new_case,tot_death,new_death
MN,"875,917","4,714","9,316",37
NE,"226,386",140,"2,281",3
RI,"144,880",19,"2,729",0
KY,0,0,0,0
CA,"874,077","3,286","16,908",14
DE,"103,172",190,"1,783",0
NC,"1,507,291","1,637","18,900",19
MT,"272,397",41,"3,242",2
FSM,0,0,0,0
VT,"10,017",168,172,0
MT,"3,381",39,47,1
IL,"263,466","1,462","8,541",14
WI,"54,064",783,913,13
NE,"14,557",219,181,3
VT,"23,243",40,252,0
ME,"15,221",580,224,4
VI,869,41,10,1
NC,"21,775",789,784,18
IL,"297,929","2,166","8,940",24
SC,"597,195",126,"9,820",1
WI,"61,985",875,985,8
CT,"282,626","2,680","7,651",29
ID,"445,821",151,"4,923",1
KY,"460,259",191,"7,896",2
VI,"3,844",5,30,0
OR,"120,223",735,"1,558",8
SC,"1,456,027","1,480","16,626",48
MT,"292,026",0,"3,455",0
CT,"860,321",346,"11,139",0
RI,"178,377",324,"2,911",2
IL,2,0,0,0
VA,"684,956",457,"11,482",5
ID,"191,738",192,"2,088",1
CA,"4,547,683","9,045","66,701",76
CA,"10,143,414",0,"91,701",0
VT,"22,742",13,249,0
AZ,"888,800",463,"17,820",11
DC,"47,903",103,"1,106",0
DC,"49,746",47,"1,146",0
NV,"318,780",268,"5,506",8
ID,"189,128",114,"2,061",0
NH,"144,626",0,"1,622",0
MI,"65,293","2,848","5,071",61
MO,"608,446",724,"9,227",3
VI,"20,878",50,118,0
CT,"831,880",223,"11,045",0
RI,"9,276",199,320,24
ID,"5,319",0,91,0
MD,0,0,0,0
MD,"463,265",79,"9,800",0
DE,"256,398",97,"2,895",2
WI,"15,863",279,517,3
OR,"173,626",695,"2,457",2
MD,"147,766",771,"4,310",6
CT,"5,276",361,165,33
NC,"3,032,338","5,590","26,144",14
OR,"1,132",64,29,2
MN,"1,508,948","1,780","12,948",5
NV,"59,955","1,099","1,073",15
ME,"67,135",83,824,2
NE,"219,289",272,"2,242",0
VA,29,0,0,0
NC,"911,332",974,"12,833",8
KY,"531,941","5,044","8,460",37
DC,"152,252",274,"1,348",0
VA,"2,095,882",0,"21,957",0
MI,"2,547,366",0,"36,407",0
KY,"215,711","3,581","3,633",53
DC,"11,261",67,578,0
CT,"410,473",544,"8,826",0
WI,"251,032","6,104","2,171",58
NV,"520,948","3,702","8,488",20
AZ,1,0,0,0
VT,"1,613",3,57,0
MN,"65,716",0,"1,758",-1
CT,"172,743",0,"5,791",0
SC,"1,470,641",151,"17,629",13
NV,"85,491",806,"1,705",2
VT,"2,330",50,58,0
VI,"2,373",23,24,0
RI,"133,069",436,"2,629",3
WY,1,1,0,0
MO,0,0,0,0
MI,"1,162,693","3,271","22,453",14
VA,"693,206","1,101","11,525",3
DE,8,2,0,0
NV,"665,211","2,104","9,144",60
MD,"1,257,358","1,974","15,455",28
WY,741,25,7,0
NJ,"2,473,956","3,218","34,001",7
RI,"341,492",137,"3,514",2
MO,"141,475",852,"2,622",24
MI,"2,804,588",0,"38,317",0
SC,"1,424,471","5,191","15,907",27
NC,"1,036,694","3,570","13,835",17
MD,"146,145",864,"4,298",8
ME,"236,046",256,"2,202",0
VT,"24,543",57,257,0
DE,"135,126",605,"2,084",5
NH,"122,054",431,"1,485",2
VI,69,0,6,0
MO,"1,537,658",0,"20,838",0
NJ,"2,178,976","1,378","33,067",13
RI,0,0,0,0
WY,"112,862",0,"1,472",0
RI,"383,775",148,"3,611",0
MN,"915,942","3,572","9,606",100
DC,"43,383",154,"1,050",0
MD,0,0,0,0
NH,"149,827","1,109","1,656",8
DE,"56,219",713,"1,110",11
MO,"178,917","2,420","3,190",50
SC,"6,997",94,300,11
ID,"443,309",274,"4,860",-1
CT,"50,897",0,"4,453",0
DC,"63,879",291,"1,186",0
MD,"1,137,909",0,"14,805",0
AZ,"1,445,129","14,888","24,616",30
MT,451,0,15,-1
MN,"1,590,564",0,"13,293",0
ID,"139,864","1,340","1,403",10
MN,"1,571,008",0,"13,205",0
NJ,"1,025,079",331,"26,493",3
CT,"820,870",844,"11,015",0
SC,"1,593,218","2,348","18,147",6
ME,"99,447",541,"1,109",7
SC,"82,402","1,600","1,437",51
DE,"107,309",46,"1,832",1
ME,"28,051",649,372,3
MO,"1,578,508","12,363","21,032",78
FSM,0,0,0,0
SC,"604,143",620,"9,900",4
MI,"461,924","2,494","9,715",90
LA,"1,269,244","2,332","17,493",2
MD,"81,766",930,"3,540",9
NJ,"2,365,656","6,124","33,640",21
WI,"1,571,997","1,537","13,297",41
NV,"314,928",453,"5,459",11
WI,"281,910","4,407","2,392",11
VI,"21,022",27,118,0
IL,"759,562","10,959","13,625",228
MO,"1,453,570",0,"20,602",0
WI,"160,331","2,016","1,484",9
RI,"338,315",249,"3,441",0
VA,"349,584","5,239","5,032",48
WY,"156,281",0,"1,796",0
NH,"5,973",21,387,1
SC,"161,129",867,"3,595",16
MN,"1,545,001",0,"13,096",0
MI,"2,672,312",0,"37,428",0
WY,"60,849",76,725,5
WY,"110,051",249,"1,347",0
DC,77,6,1,1
AZ,"976,471","3,546","18,508",4
FSM,0,0,0,0
NV,"417,156",660,"7,025",10
IL,"1,477,465","3,180","26,197",15
MD,"987,351","1,166","13,724",33
WY,"156,392",0,"1,807",0
MT,"112,260",131,"1,632",5
KY,"463,427",393,"7,955",2
RI,"339,109",80,"3,492",2
MO,"1,411,722",0,"19,993",0
ID,"461,626",885,"4,967",1
VI,50,0,1,0
OR,"209,377",114,"2,781",0
KY,"69,475",864,"1,444",11
FSM,0,0,0,0
RI,0,0,0,0
CT,"250,023",0,"7,046",0
ME,"4,190",20,127,0
WI,"968,291",0,"9,944",0
NJ,"156,064",688,"11,191",47
VI,81,1,6,0
SC,"1,273,705","14,577","15,157",56
NJ,"190,041",37,"15,903",0
DC,"51,413",155,"1,149",0
WI,"1,545,059","2,308","12,739",70
CT,"833,260",347,"11,045",0
IL,"207,413","1,562","7,955",18
VA,"42,533","1,132","1,358",20
SC,"1,582,915","2,754","18,089",11
FSM,0,0,0,0
MD,"578,851",832,"11,147",9
IL,"3,528,282","5,276","38,812",13
NC,"3,120,088","2,414","26,503",15
MN,"646,094",636,"7,898",2
DC,0,0,0,0
RI,"350,330",431,"3,534",2
DE,10,0,0,0
FSM,"8,776",227,27,0
SC,"4,035",267,106,9
NC,"2,225,790","36,472","21,119",82
FSM,0,0,0,0
DE,"262,657",264,"2,951",1
VT,"1,104",2,55,0
IL,"3,249,534",0,"38,068",0
NC,"8,629",433,339,16
VA,"40,249",907,"1,281",45
NC,"909,141","1,724","12,810",11
VA,"969,116","1,907","14,710",26
VT,"77,375",0,465,0
DC,"11,999",54,584,1
VT,"128,996",0,668,0
RI,"13,177",161,580,23
WY,891,15,15,0
MI,0,0,0,0
WY,"1,774",34,21,0
CA,"3,062,068","23,024","35,029",684
WY,"35,737",659,257,0
FSM,14,0,0,0
FSM,0,0,0,0
NV,"349,043","1,003","5,817",20
OR,"706,687",0,"7,296",0
SC,"4,493",138,120,2
WI,"522,523","2,085","5,254",12
NV,"4,081",144,179,9
AZ,1,0,0,0
MT,"309,452","1,429","3,518",6
MO,"1,578,508",0,"21,032",0
VA,"811,079","9,254","12,089",53
VA,"567,039","1,769","7,658",172
NE,"220,266",193,"2,245",1
MT,"271,590",126,"3,221",10
VA,"670,456",272,"11,029",11
VA,"1,525,591",0,"16,127",0
MN,"1,476,133","2,612","12,837",11
FSM,21,0,0,0
WI,"18,230",523,588,20
CA,"3,541,928","3,107","56,072",45
VT,"1,220",10,56,0
FSM,0,0,0,0
NJ,"622,089","6,057","20,414",94
CA,"3,661,675","2,034","61,417",66
IL,2,0,0,0
CA,"9,140,562","6,566","88,907",159
VA,"682,147",257,"11,448",7
CA,"7,929,436","62,826","78,118",17
NC,"1,002,619",453,"13,664",2
WI,"874,942","2,917","9,344",45
NH,367,53,3,0
RI,"125,385",367,"2,579",5
DE,"108,218",17,"1,853",0
NJ,"2,441,637","3,127","33,879",20
NE,"169,226",583,"1,672",3
KY,"1,320,605",719,"15,720",28
LA,"485,803","1,226","10,765",2
RI,"20,274",43,"1,034",0
NV,"671,322","1,574","9,270",34
MO,"1,628,318",0,"21,375",0
IL,"3,778,171","4,504","39,791",14
MN,"609,527",140,"7,744",1
RI,"24,632",183,"1,125",1
MD,"140,279",792,"4,237",6
KY,"444,908",549,"7,602",3
MT,"190,424",353,"2,638",7
VA,"583,060","1,652","9,428",71
VA,"679,680",208,"11,392",3
NH,"300,185",0,"2,415",0
NH,"284,180","2,880","2,260",14
LA,"751,874",559,"14,321",25
LA,"127,246","1,303","4,146",50
KY,"1,329,594",295,"16,010",12
WY,"50,898",315,571,0
NH,"99,840",40,"1,381",0
VI,"2,575",17,25,0
ME,"40,088",240,627,9
MI,"1,026,937","1,934","21,264",12
KY,"7,070",196,373,7
IL,"1,199,517","1,182","23,020",6
ME,"29,981",617,432,5
IL,"697,489","12,022","12,596",156
FSM,0,0,0,0
MT,"77,947",623,895,14
DC,"163,429",122,"1,369",0
NC,"214,554","1,994","3,872",18
ME,"227,073",115,"2,064",0
KY,"1,329,876",94,"16,024",7
NJ,"1,744,002","32,264","29,315",106
NV,"67,491",553,"1,300",21
NH,"106,525",320,"1,415",5
NE,"227,905",275,"2,280",8
DC,"13,851",57,605,0
MT,"309,452",0,"3,518",0
SC,"896,406",598,"13,617",6
ID,"192,305",227,"2,090",0
MT,"116,542",88,"1,706",1
KY,"488,419","2,615","8,139",14
LA,"315,275","4,046","7,488",40
NH,"335,462",313,"2,609",0
MN,"1,461,622","2,277","12,801",6
NJ,0,0,0,0
VA,"679,917",89,"11,402",6
SC,"595,592",198,"9,789",5
VI,68,0,4,0
NC,"34,696","1,321","1,097",21
ID,"3,054",64,83,0
NC,"1,024,062","2,213","13,773",10
KY,"4,709",209,264,8
MO,0,0,0,0
WI,"796,042","2,232","8,800",6
IL,"1,390,432",292,"25,637",7
AZ,13,1,0,0
MD,"552,524",717,"10,783",19
IL,"3,425,979","4,645","38,569",10
CT,2,1,0,0
MI,"2,849,047",0,"38,767",0
ME,"146,289",809,"1,472",4
NE,"210,548",449,"2,177",2
SC,"6,690",141,270,4
ID,"1,984",32,60,0
VT,"129,602",183,673,4
WI,"1,695,877",0,"14,684",0
CA,"4,855,054","4,378","71,295",113
KY,"336,565","2,331","5,767",48
NC,"1,146,022","6,569","14,481",59
WI,"1,863,218","1,001","15,239",6
SC,222,48,3,2
OR,"350,938","1,086","4,177",8
MD,"521,210",974,"10,354",22
DC,"61,791",154,"1,178",2
MN,"1,554,243",0,"13,132",0
WY,"165,619",0,"1,834",0
NV,"411,578",737,"6,867",11
FSM,14,0,0,0
NC,"2,398,119","25,490","21,812",96
NJ,"822,817","3,775","23,768",133
NC,"478,062","6,404","6,995",74
NJ,"1,033,116",861,"26,573",5
NV,"92,853",789,"1,736",4
FSM,3,0,0,0
RI,0,0,0,0
NE,"478,333",84,"4,190",0
LA,"772,789",0,"14,826",0
OR,"559,960","10,018","5,916",8
MT,612,3,19,0
WY,"174,213",0,"1,877",0
ME,"232,293",0,"2,145",0
VT,900,2,54,0
WY,"157,409",0,"1,820",0
KY,"785,298",885,"12,209",13
VA,"46,905",666,"1,428",21
KY,"447,407",605,"7,627",5
NV,"8,951",121,445,25
NC,"356,130","3,377","5,735",42
VT,"25,362",92,263,1
RI,"163,549",309,"2,835",2
NH,"189,987",0,"1,877",0
CT,"354,335",491,"8,293",0
CA,"757,778","2,855","14,211",1
NH,"278,691","1,336","2,232",9
VA,5,3,0,0
VI,421,15,8,0
CA,"11,220,161",0,"95,009",0
